Standard;rock type;producer;Material Source;Date Released;Link;Material Production Reference;Data Source Reference
GXR-2;soil;United States Geological Survey;Park City, UT;1975;http://www.geostandards.lanl.gov/AllAnalytes/All-USGS-GXR-2_1.html;G. H. Allcott and H. W. Lakin (1975), The Homogeneity of Six Geochemical Exploration Reference Samples, Geochemical Exploration 1974, Elsevier, pp. 659-681;E. S. Gladney and I. Roelandts (1990), 1988 Compilation of Elemental Concentration Data for USGS Geochemical Exploration Reference Materials GXR-1 to GXR-6, Geostandards Newsletter, 14: 21-118
GXR-3;hot springs deposit;United States Geological Survey;Humboldt County, NV;1975;http://www.geostandards.lanl.gov/AllAnalytes/All-USGS-GXR-3_1.html;G. H. Allcott and H. W. Lakin (1975), The Homogeneity of Six Geochemical Exploration Reference Samples, Geochemical Exploration 1974, Elsevier, pp. 659-681;E. S. Gladney and I. Roelandts (1990), 1988 Compilation of Elemental Concentration Data for USGS Geochemical Exploration Reference Materials GXR-1 to GXR-6, Geostandards Newsletter, 14: 21-118
GXR-4;copper-mill heads;United States Geological Survey;Utah;1975;http://www.geostandards.lanl.gov/AllAnalytes/All-USGS-GXR-4_1.html;G. H. Allcott and H. W. Lakin (1975), The Homogeneity of Six Geochemical Exploration Reference Samples, Geochemical Exploration 1974, Elsevier, pp. 659-681;E. S. Gladney and I. Roelandts (1990), 1988 Compilation of Elemental Concentration Data for USGS Geochemical Exploration Reference Materials GXR-1 to GXR-6, Geostandards Newsletter, 14: 21-118
GXR-5;soil;United States Geological Survey;B zone, Somerset County, ME;1975;http://www.geostandards.lanl.gov/AllAnalytes/All-USGS-GXR-5_1.html;G. H. Allcott and H. W. Lakin (1975), The Homogeneity of Six Geochemical Exploration Reference Samples, Geochemical Exploration 1974, Elsevier, pp. 659-681;E. S. Gladney and I. Roelandts (1990), 1988 Compilation of Elemental Concentration Data for USGS Geochemical Exploration Reference Materials GXR-1 to GXR-6, Geostandards Newsletter, 14: 21-118
GXR-6;soil;United States Geological Survey;B zone, Davidson County, NC;1975;http://www.geostandards.lanl.gov/AllAnalytes/All-USGS-GXR-6_1.html;G. H. Allcott and H. W. Lakin (1975), The Homogeneity of Six Geochemical Exploration Reference Samples, Geochemical Exploration 1974, Elsevier, pp. 659-681;E. S. Gladney and I. Roelandts (1990), 1988 Compilation of Elemental Concentration Data for USGS Geochemical Exploration Reference Materials GXR-1 to GXR-6, Geostandards Newsletter, 14: 21-118
IF-G;iron formation;"Groupe International de Travail ""Etalons analytiques des mineraux, minerais et roches""";West Greenland, GRL;1983;http://www.geostandards.lanl.gov/AllAnalytes/All-IF-G_1.html; K. Govindaraju (1995), 1995 Working Values with Confidence Limits for Twenty-Six CRPG, ANRT and IWG-GIT Geostandards,  Special Issue, Geostandards Newsletter, 19: 1-32;K. Govindaraju (1995), 1995 Working Values with Confidence Limits for Twenty-Six CRPG, ANRT and IWG-GIT Geostandards,  Special Issue, Geostandards Newsletter, 19: 1-32
JA-1;andesite;Geological Survey of Japan;Hakone volcano, Quarternary, Manazura-machi, Kanagawa Prefecture, JPN;1982;http://www.geostandards.lanl.gov/AllAnalytes/All-JA-1_1.html;"N. Imai, S. Terashima, S. Itoh and A. Ando (1995), 1994 Compilation of Analytical Data for Minor and Trace Elements in Seventeen GSJ Geochemical Reference Samples, ""Igeous Rock Series,"", Geostandards Newsletter, 19: 135-213.";"S. Terashima, N. Imai, S. Itoh, A. Ando and N. Mita (1994), 1993 Compilation of Analytical Data for Major Elements in Seventeen  GSJ Geochemical Reference Samples, ""Igneous Rock Series,"", Bulletin of the Geological Survey (Society) of Japan, 45: 305-381 ; Taken from 95IMA - 01."
JA-2;andesite;Geological Survey of Japan;Goshikidai sanukitoid, 14Ma, Sakaide, Kagawa Prefecture, JPN;1985;http://www.geostandards.lanl.gov/AllAnalytes/All-JA-2_1.html;"N. Imai, S. Terashima, S. Itoh and A. Ando (1995), 1994 Compilation of Analytical Data for Minor and Trace Elements in Seventeen  GSJ Geochemical Reference Samples, ""Igeous Rock Series,"", Geostandards Newsletter, 19: 135-213.";"S. Terashima, N. Imai, S. Itoh, A. Ando and N. Mita (1994), 1993 Compilation of Analytical Data for Major Elements in Seventeen GSJ Geochemical Reference Samples, ""Igneous Rock Series,"", Bulletin of the Geological Survey (Society) of Japan, 45: 305-381 ; Taken from 95IMA - 01."
JA-3;andesite;Geological Survey of Japan;Asama volcano erupted in 1783, Tsumagoi-mura, Gunma Prefecture, JPN;1986;http://www.geostandards.lanl.gov/AllAnalytes/All-JA-3_1.html;"N. Imai, S. Terashima, S. Itoh and A. Ando (1995), 1994 Compilation of Analytical Data for Minor and Trace Elements in Seventeen  GSJ Geochemical Reference Samples, ""Igeous Rock Series,"", Geostandards Newsletter, 19: 135-213.";"S. Terashima, N. Imai, S. Itoh, A. Ando and N. Mita (1994), 1993 Compilation of Analytical Data for Major Elements in Seventeen SJ Geochemical Reference Samples, ""Igneous Rock Series,"", Bulletin of the Geological Survey (Society) of Japan, 45: 305-381 ; G Taken from 95IMA - 01."
JB-1;basalt;Geological Survey of Japan;Kitamatsuura Basalt, 7.6 Ma, Sasebo, Nagasaki Prefecture, JPN;1968;http://www.geostandards.lanl.gov/AllAnalytes/All-JB-1_1.html;"N. Imai, S. Terashima, S. Itoh and A. Ando (1995), 1994 Compilation of Analytical Data for Minor and Trace Elements in Seventeen GSJ Geochemical Reference Samples, ""Igeous Rock Series,"", Geostandards Newsletter, 19: 135-213. ";"S. Terashima, N. Imai, S. Itoh, A. Ando and N. Mita (1994), 1993 Compilation of Analytical Data for Major Elements in Seventeen  GSJ Geochemical Reference Samples, ""Igneous Rock Series,"", Bulletin of the Geological Survey (Society) of Japan, 45: 305-381 ; Taken from 95IMA - 01."
