Label;Category;Denomination;Content;Rock type;Location;Producer;Amount;Comments;Link
NIM-L;Certified;;;Lujavrite;;;;Samples: 1 large jar, Roth Nr.2586;
NIM-L;Certified;SARM 3  SAVM;;Lujavrite;;SABS;;Samples: 1 small jar, 3 289;
NIM-N;Certified;SARM 4  SAVM;;Norite;;SABS;;Samples: 1 large jar, 1 small jar, 3 124;
NIM-P;Certified;;Peridotite;Peridotite;;;;Samples: 1 large jar, 1 small jar;
NIM-P;Certified;SARM 5  SAVM;;Pyroxenite;;SABS;;3 278;
NIM-S;Certified;SARM 2  SAVM;Syenite;Syenite;;SABS;;Samples: 1 large jar, 1 small jar, 3/352;
NIST 610;;;Synthetic Silicate Glass;Synthetic Silicate Glass;;National Institute for Standards and Technology (NIST);0 g;;https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1751-908X.1997.tb00538.x
NIST 612;;;Synthetic Silicate Glass;Synthetic Silicate Glass;;National Institute for Standards and Technology (NIST);0 g;;https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1751-908X.1997.tb00538.x
NIST 614;;;Synthetic Silicate Glass;Synthetic Silicate Glass;;National Institute for Standards and Technology (NIST);0 g;;https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1751-908X.2011.00120.x
NIST 616;;;Synthetic Silicate Glass;Synthetic Silicate Glass;;National Institute for Standards and Technology (NIST);0 g;;https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1751-908X.2011.00120.x
NIST 688;Certified;;;Basalt Rock;;National Institute for Standards and Technology (NIST);;;
